llm,function,placeholder,inferred,ground
gemini,_string_append,lVar2,newSize,newCapacity,0.7865396738052368
claud,_string_append,lVar2,newCapacity,newCapacity,1.0000001192092896
gpt3,_string_append,lVar2,newBufferSize,newCapacity,0.8218586444854736
gpt4,_string_append,lVar2,new_total_length,newCapacity,0.6820908784866333
gemini,_string_append,lVar3,allocatedMem,newData,0.4535800516605377
claud,_string_append,lVar3,newBuffer,newData,0.6830273866653442
gpt3,_string_append,lVar3,newBufferAddress,newData,0.5352151393890381
gpt4,_string_append,lVar3,new_buffer_ptr,newData,0.5515254735946655
gemini,_string_append,param_1,stringObject,str,0.6900297999382019
claud,_string_append,param_1,stringObj,str,0.6848109364509583
gpt3,_string_append,param_1,stringBuffer,str,0.6193804144859314
gpt4,_string_append,param_1,string_handle,str,0.6238265037536621
gemini,_string_append,param_2,strItem,strItem,1.0
claud,_string_append,param_2,appendStr,strItem,0.5400263667106628
gpt3,_string_append,param_2,strToAppend,strItem,0.5124086141586304
gpt4,_string_append,param_2,append_str,strItem,0.5400263667106628
gemini,_string_append,sVar1,strLen,strItemLength,0.8237722516059875
claud,_string_append,sVar1,appendLen,strItemLength,0.6575428247451782
gpt3,_string_append,sVar1,appendedStrLength,strItemLength,0.721293032169342
gpt4,_string_append,sVar1,append_length,strItemLength,0.6885762214660645
gemini,_string_assign,lVar2,newAllocation,newData,0.4608824849128723
claud,_string_assign,lVar2,newMemory,newData,0.6085414886474609
gpt3,_string_assign,lVar2,allocatedMemoryPtr,newData,0.38479188084602356
gpt4,_string_assign,lVar2,new_memory_address,newData,0.49402010440826416
gemini,_string_assign,param_1,stringObject,str,0.6900297999382019
claud,_string_assign,param_1,stringObj,str,0.6848109364509583
gpt3,_string_assign,param_1,destLongPtr,str,0.4527945816516876
gpt4,_string_assign,param_1,string_object,str,0.6900297999382019
gemini,_string_assign,param_2,newString,newStr,0.9004528522491455
claud,_string_assign,param_2,newStr,newStr,1.0000001192092896
gpt3,_string_assign,param_2,srcStringPtr,newStr,0.541014552116394
gpt4,_string_assign,param_2,new_string,newStr,0.9004528522491455
gemini,_string_assign,sVar1,newStringLen,newStrLength,0.9358535408973694
claud,_string_assign,sVar1,newStrLen,newStrLength,0.9507303237915039
gpt3,_string_assign,sVar1,srcStrLength,newStrLength,0.7332783937454224
